epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8034.2,1.35648,0.75899,1.21779,0.88749,0.8506,0.90551,0.53977,1.39266,0.64873,1.27313,0.000741194,0.000741194,0.000741194
43,8226.51,1.34656,0.74439,1.21573,0.88857,0.85051,0.90194,0.54138,1.3878,0.64411,1.27707,0.000729725,0.000729725,0.000729725
44,8420.49,1.35079,0.74586,1.21784,0.89542,0.85149,0.90749,0.53665,1.4011,0.64622,1.2837,0.000718103,0.000718103,0.000718103
45,8610.24,1.34579,0.74443,1.21611,0.89414,0.85565,0.90722,0.54311,1.3853,0.63644,1.27965,0.000706335,0.000706335,0.000706335
46,8807.01,1.34508,0.73896,1.2066,0.88865,0.85554,0.90676,0.54706,1.38119,0.63678,1.26476,0.000694428,0.000694428,0.000694428
47,8998.71,1.33863,0.73523,1.21063,0.89356,0.85705,0.90969,0.54465,1.38395,0.63419,1.26566,0.000682392,0.000682392,0.000682392
48,9188.9,1.33123,0.72654,1.20684,0.89218,0.85541,0.91165,0.54692,1.37766,0.63036,1.26554,0.000670234,0.000670234,0.000670234
49,9382.06,1.33191,0.72459,1.20407,0.89769,0.85478,0.90897,0.54917,1.37301,0.63653,1.26479,0.000657963,0.000657963,0.000657963
50,9581.58,1.32301,0.72302,1.2005,0.89426,0.85458,0.9107,0.55047,1.37422,0.62645,1.27016,0.000645588,0.000645588,0.000645588
51,9780.54,1.3145,0.71756,1.19963,0.89728,0.86227,0.91123,0.55077,1.36928,0.61796,1.26564,0.000633115,0.000633115,0.000633115
52,9982.71,1.30801,0.70181,1.1959,0.89986,0.85972,0.91237,0.55097,1.3681,0.61826,1.26433,0.000620555,0.000620555,0.000620555
53,10184.8,1.30441,0.70205,1.19326,0.90117,0.85549,0.91347,0.55206,1.36938,0.61867,1.26627,0.000607916,0.000607916,0.000607916
54,10379.4,1.3055,0.70189,1.18976,0.88808,0.86437,0.91081,0.551,1.37247,0.61881,1.26384,0.000595207,0.000595207,0.000595207
55,10571.8,1.29083,0.68735,1.18454,0.89461,0.85919,0.91122,0.55261,1.36043,0.61406,1.26369,0.000582435,0.000582435,0.000582435
56,10770.9,1.2933,0.69358,1.1822,0.90503,0.85809,0.91436,0.55605,1.35881,0.60874,1.26284,0.00056961,0.00056961,0.00056961
57,10966.8,1.29403,0.68583,1.1881,0.9003,0.85819,0.91319,0.55462,1.36465,0.60352,1.26506,0.000556742,0.000556742,0.000556742
58,11171.2,1.29908,0.68406,1.1929,0.90465,0.86146,0.91391,0.55498,1.36629,0.60383,1.2654,0.000543837,0.000543837,0.000543837
59,11366.3,1.28882,0.68669,1.18505,0.90105,0.85888,0.91183,0.55403,1.36585,0.60539,1.27018,0.000530906,0.000530906,0.000530906
60,11561.5,1.27396,0.6723,1.17889,0.89839,0.86744,0.91454,0.55417,1.36576,0.60339,1.27367,0.000517958,0.000517958,0.000517958
61,11757.1,1.2691,0.66841,1.17516,0.89444,0.86717,0.9134,0.55278,1.3626,0.61048,1.27105,0.000505,0.000505,0.000505
62,11953.3,1.27262,0.66628,1.17741,0.90421,0.862,0.9134,0.55505,1.36014,0.59874,1.26841,0.000492042,0.000492042,0.000492042
63,12151.7,1.26459,0.66287,1.17151,0.8991,0.86596,0.91402,0.55647,1.35627,0.59466,1.26533,0.000479094,0.000479094,0.000479094
64,12352.8,1.24944,0.65438,1.16757,0.90536,0.86607,0.91649,0.55977,1.35305,0.59476,1.26412,0.000466163,0.000466163,0.000466163
65,12552.8,1.24605,0.64837,1.16458,0.90183,0.86934,0.91748,0.55989,1.3497,0.59755,1.26344,0.000453258,0.000453258,0.000453258
66,12750.8,1.24977,0.64792,1.15791,0.89677,0.87177,0.91697,0.56012,1.34887,0.60004,1.26016,0.00044039,0.00044039,0.00044039
67,12951.5,1.23936,0.64123,1.15895,0.89574,0.86799,0.91611,0.55956,1.35036,0.5971,1.25982,0.000427565,0.000427565,0.000427565
68,13145.9,1.23869,0.64614,1.15447,0.89273,0.87258,0.91428,0.55783,1.35007,0.59449,1.25925,0.000414793,0.000414793,0.000414793
69,13343.7,1.23146,0.63661,1.15143,0.89897,0.87107,0.91645,0.55903,1.34771,0.59341,1.25959,0.000402084,0.000402084,0.000402084
70,13543.1,1.23432,0.63817,1.15512,0.90727,0.86791,0.9168,0.55952,1.34916,0.59279,1.25845,0.000389445,0.000389445,0.000389445
71,13739.8,1.21793,0.62731,1.14606,0.90675,0.86101,0.9175,0.55877,1.34889,0.59063,1.25993,0.000376885,0.000376885,0.000376885
72,13933.8,1.21714,0.62079,1.14643,0.89838,0.87072,0.91729,0.55935,1.34514,0.58796,1.26021,0.000364412,0.000364412,0.000364412
73,14129.3,1.21563,0.62742,1.14475,0.90016,0.86604,0.91631,0.56061,1.3437,0.58917,1.25909,0.000352037,0.000352037,0.000352037
74,14326.8,1.20649,0.62093,1.13712,0.89399,0.86579,0.91544,0.55992,1.34446,0.58768,1.25848,0.000339766,0.000339766,0.000339766
75,14518.2,1.21318,0.61523,1.13942,0.89862,0.86471,0.91529,0.55848,1.34721,0.58643,1.25775,0.000327608,0.000327608,0.000327608
76,14712.4,1.20196,0.6078,1.13624,0.89172,0.87169,0.91648,0.55939,1.34559,0.58363,1.2584,0.000315572,0.000315572,0.000315572
77,14908.7,1.19495,0.60499,1.13401,0.89728,0.86876,0.9168,0.55981,1.34519,0.58159,1.25693,0.000303665,0.000303665,0.000303665
78,15105.7,1.18594,0.59808,1.12819,0.90056,0.86947,0.91462,0.5603,1.34484,0.58139,1.25669,0.000291897,0.000291897,0.000291897
79,15301.7,1.19858,0.60371,1.13352,0.90103,0.86831,0.91738,0.56089,1.34707,0.58254,1.25738,0.000280275,0.000280275,0.000280275
80,15503.3,1.18574,0.59493,1.12919,0.89901,0.86925,0.91716,0.56129,1.34519,0.57946,1.25893,0.000268806,0.000268806,0.000268806
81,15705.3,1.18602,0.59213,1.12845,0.89759,0.86998,0.91585,0.56157,1.34402,0.57813,1.25951,0.0002575,0.0002575,0.0002575
82,15900.4,1.17682,0.59097,1.12661,0.89748,0.87304,0.91671,0.56261,1.34236,0.57695,1.25808,0.000246363,0.000246363,0.000246363
83,16102.4,1.17459,0.58949,1.12089,0.89639,0.8699,0.91506,0.56123,1.34144,0.57708,1.25678,0.000235404,0.000235404,0.000235404
84,16297.3,1.17082,0.58538,1.12223,0.9025,0.86586,0.91679,0.56181,1.34341,0.57847,1.25766,0.000224629,0.000224629,0.000224629
85,16492.4,1.16945,0.58527,1.11948,0.90127,0.867,0.91523,0.56051,1.34258,0.57799,1.25773,0.000214046,0.000214046,0.000214046
86,16687,1.16383,0.58184,1.12371,0.90543,0.86547,0.91624,0.56136,1.34232,0.57774,1.25735,0.000203663,0.000203663,0.000203663
87,16882.8,1.15411,0.57796,1.11613,0.90036,0.87017,0.91621,0.56059,1.34237,0.57707,1.2578,0.000193486,0.000193486,0.000193486
88,17078.7,1.16128,0.5783,1.11866,0.90398,0.86875,0.91616,0.56015,1.34149,0.57608,1.2588,0.000183523,0.000183523,0.000183523
89,17273.8,1.16042,0.57827,1.11889,0.90146,0.86964,0.91667,0.55994,1.34118,0.57506,1.25921,0.00017378,0.00017378,0.00017378
90,17470.3,1.1525,0.57286,1.11406,0.90359,0.86854,0.91733,0.5602,1.34205,0.57496,1.25956,0.000164264,0.000164264,0.000164264
91,17664.7,1.14749,0.57435,1.10758,0.90244,0.86602,0.91536,0.55993,1.34214,0.57475,1.25823,0.000154982,0.000154982,0.000154982
92,17859.2,1.15217,0.57061,1.11512,0.90017,0.86798,0.91463,0.55935,1.34233,0.5763,1.2582,0.00014594,0.00014594,0.00014594
93,18055.2,1.13857,0.56666,1.11104,0.90146,0.86532,0.9149,0.55931,1.34251,0.57597,1.2592,0.000137143,0.000137143,0.000137143
94,18249.7,1.13758,0.56112,1.10874,0.90169,0.86578,0.91484,0.55897,1.3439,0.57683,1.26058,0.000128599,0.000128599,0.000128599
95,18444.5,1.14044,0.56266,1.10843,0.90103,0.86518,0.91485,0.55894,1.34474,0.57594,1.26086,0.000120313,0.000120313,0.000120313
96,18641,1.1413,0.56364,1.10875,0.90074,0.86473,0.91427,0.55867,1.34474,0.57646,1.26102,0.00011229,0.00011229,0.00011229
97,18838.7,1.13139,0.55832,1.10347,0.90279,0.86303,0.91412,0.55838,1.34451,0.57734,1.26125,0.000104537,0.000104537,0.000104537
98,19034.8,1.126,0.55473,1.10239,0.89981,0.86527,0.91406,0.55805,1.34423,0.57709,1.26185,9.70575e-05,9.70575e-05,9.70575e-05
